barrios_hecho,ano,quantity
LIZCANO II,2017,3
LIZCANO II,2018,3
LIZCANO II,2019,9
LIZCANO II,2020,2
LOS ANGELES,2010,17
LOS ANGELES,2011,20
LOS ANGELES,2012,12
LOS ANGELES,2013,18
LOS ANGELES,2014,22
LOS ANGELES,2015,22
LOS ANGELES,2016,36
LOS ANGELES,2017,40
LOS ANGELES,2018,27
LOS ANGELES,2019,16
LOS ANGELES,2020,16
LOS ANGELES,2021,18
MARIA PAZ,2010,25
MARIA PAZ,2011,39
MARIA PAZ,2012,38
MARIA PAZ,2013,37
MARIA PAZ,2014,41
MARIA PAZ,2015,33
MARIA PAZ,2016,54
MARIA PAZ,2017,58
MARIA PAZ,2018,57
MARIA PAZ,2019,49
MARIA PAZ,2020,38
MARIA PAZ,2021,32
MESETAS DEL SANTUARIO,2016,1
MINUTO DE DIOS,2010,23
MINUTO DE DIOS,2011,13
MINUTO DE DIOS,2012,21
MINUTO DE DIOS,2013,16
MINUTO DE DIOS,2014,11
MINUTO DE DIOS,2015,18
MINUTO DE DIOS,2016,15
MINUTO DE DIOS,2017,22
MINUTO DE DIOS,2018,34
MINUTO DE DIOS,2019,16
MINUTO DE DIOS,2020,15
MINUTO DE DIOS,2021,21
MIRADOR,2011,2
MIRADOR,2013,1
MIRADOR,2014,1
MIRADOR,2016,4
MIRADOR,2017,1
MIRADOR,2018,1
MIRADOR,2020,1
MIRADOR,2021,1
MIRADOR DEL KENNEDY,2010,1
MIRADOR DEL KENNEDY,2012,2
MIRADOR DEL KENNEDY,2014,1
MIRADOR DEL KENNEDY,2015,1
MIRADOR DEL KENNEDY,2016,7
MIRADOR DEL KENNEDY,2017,2
MIRADOR DEL KENNEDY,2018,7
MIRADOR DEL KENNEDY,2019,4
MIRADOR DEL KENNEDY,2020,4
MIRADOR DEL KENNEDY,2021,14
MIRAFLORES,2010,59
MIRAFLORES,2011,69
MIRAFLORES,2012,64
MIRAFLORES,2013,57
MIRAFLORES,2014,57
MIRAFLORES,2015,43
MIRAFLORES,2016,47
MIRAFLORES,2017,53
MIRAFLORES,2018,63
MIRAFLORES,2019,33
MIRAFLORES,2020,30
MIRAFLORES,2021,36
MIRAMAR,2010,4
MIRAMAR,2011,11
MIRAMAR,2012,5
MIRAMAR,2013,2
MIRAMAR,2014,11
MIRAMAR,2015,8
MIRAMAR,2016,7
MIRAMAR,2017,6
MIRAMAR,2018,17
MIRAMAR,2019,9
MIRAMAR,2020,5
MIRAMAR,2021,11
MODELO,2010,32
MODELO,2011,41
MODELO,2012,55
MODELO,2013,34
MODELO,2014,42
MODELO,2015,22
MODELO,2016,40
MODELO,2017,43
MODELO,2018,48
MODELO,2019,47
MODELO,2020,18
MODELO,2021,26
MORRORICO,2010,45
MORRORICO,2011,51
MORRORICO,2012,79
MORRORICO,2013,57
MORRORICO,2014,59
MORRORICO,2015,46
MORRORICO,2016,77
MORRORICO,2017,83
MORRORICO,2018,87
MORRORICO,2019,78
MORRORICO,2020,61
MORRORICO,2021,110
MUTUALIDAD,2010,19
MUTUALIDAD,2011,36
MUTUALIDAD,2012,29
MUTUALIDAD,2013,60
MUTUALIDAD,2014,84
MUTUALIDAD,2015,113
MUTUALIDAD,2016,64
MUTUALIDAD,2017,60
MUTUALIDAD,2018,127
MUTUALIDAD,2019,64
MUTUALIDAD,2020,51
MUTUALIDAD,2021,79
NAPOLES,2010,16
NAPOLES,2011,15
NAPOLES,2012,17
NAPOLES,2013,18
NAPOLES,2014,19
NAPOLES,2015,24
NAPOLES,2016,21
NAPOLES,2017,15
NAPOLES,2018,22
NAPOLES,2019,13
NAPOLES,2020,14
NAPOLES,2021,16
NARIÑO,2010,16
NARIÑO,2011,35
NARIÑO,2012,46
NARIÑO,2013,31
NARIÑO,2014,47
NARIÑO,2015,33
NARIÑO,2016,35
NARIÑO,2017,28
NARIÑO,2018,29
NARIÑO,2019,29
NARIÑO,2020,14
NARIÑO,2021,31
NAVAS,2020,2
NORTE BAJO,2010,16
NORTE BAJO,2011,25
NORTE BAJO,2012,31
NORTE BAJO,2013,13
NORTE BAJO,2014,14
NORTE BAJO,2015,15
NORTE BAJO,2016,12
NORTE BAJO,2017,15
NORTE BAJO,2018,28
NORTE BAJO,2019,23
NORTE BAJO,2020,12
NORTE BAJO,2021,15
OLAS ALTAS,2010,7
OLAS ALTAS,2011,5
OLAS ALTAS,2012,7
OLAS ALTAS,2013,7
OLAS ALTAS,2014,9
OLAS ALTAS,2015,3
OLAS ALTAS,2016,9
OLAS ALTAS,2017,8
OLAS ALTAS,2018,10
OLAS ALTAS,2019,10
OLAS ALTAS,2020,5
OLAS ALTAS,2021,5
OLAS BAJAS,2010,7
OLAS BAJAS,2011,7
OLAS BAJAS,2012,18
OLAS BAJAS,2013,20
OLAS BAJAS,2014,18
OLAS BAJAS,2015,23
OLAS BAJAS,2016,24
OLAS BAJAS,2017,29
OLAS BAJAS,2018,15
OLAS BAJAS,2019,18
OLAS BAJAS,2020,12
OLAS BAJAS,2021,18
OLAS II,2010,5
OLAS II,2011,6
OLAS II,2012,4
OLAS II,2013,5
OLAS II,2014,5
OLAS II,2015,3
OLAS II,2016,8
OLAS II,2017,8
OLAS II,2018,4
OLAS II,2019,2
OLAS II,2020,2
OLAS II,2021,1
OMAGA I,2011,2
OMAGA I,2012,1
OMAGA I,2013,1
OMAGA I,2014,2
OMAGA I,2015,2
OMAGA I,2016,3
OMAGA I,2017,3
OMAGA I,2019,1
OMAGA I,2020,1
OMAGA I,2021,1
OMAGA II,2010,2
OMAGA II,2011,1
OMAGA II,2012,2
OMAGA II,2013,3
OMAGA II,2014,1
OMAGA II,2016,8
OMAGA II,2017,3
OMAGA II,2018,4
OMAGA II,2019,1
OMAGA II,2020,2
OMAGA II,2021,5
PIO XII,2010,4
PIO XII,2011,6
PIO XII,2012,5
PIO XII,2013,2
PIO XII,2014,8
PIO XII,2015,8
PIO XII,2016,8
PIO XII,2017,6
PIO XII,2018,14
PIO XII,2019,11
PIO XII,2020,9
PIO XII,2021,6
PRIMAVERAL,2010,2
PRIMAVERAL,2011,2
PRIMAVERAL,2014,2
PRIMAVERAL,2015,1
PRIMAVERAL,2017,1
PRIMAVERAL,2020,1
PUERTO RICO,2010,1
PUERTO RICO,2011,1
PUERTO RICO,2012,5
PUERTO RICO,2013,3
PUERTO RICO,2014,8
PUERTO RICO,2015,4
PUERTO RICO,2016,6
PUERTO RICO,2017,6
PUERTO RICO,2018,1
PUERTO RICO,2019,4
PUERTO RICO,2020,11
PUERTO RICO,2021,9
QUEBRADA LA IGLESIA I,2010,6
QUEBRADA LA IGLESIA I,2011,16
QUEBRADA LA IGLESIA I,2012,8
QUEBRADA LA IGLESIA I,2013,25
QUEBRADA LA IGLESIA I,2014,7
QUEBRADA LA IGLESIA I,2015,8
QUEBRADA LA IGLESIA I,2016,8
QUEBRADA LA IGLESIA I,2017,12
QUEBRADA LA IGLESIA I,2018,14
QUEBRADA LA IGLESIA I,2019,15
QUEBRADA LA IGLESIA I,2020,10
QUEBRADA LA IGLESIA I,2021,17
REGADERO NORTE,2010,25
REGADERO NORTE,2011,31
REGADERO NORTE,2012,13
REGADERO NORTE,2013,23
REGADERO NORTE,2014,25
REGADERO NORTE,2015,32
REGADERO NORTE,2016,46
REGADERO NORTE,2017,39
REGADERO NORTE,2018,47
REGADERO NORTE,2019,42
REGADERO NORTE,2020,35
REGADERO NORTE,2021,42
RINCON DE LA PAZ,2010,2
RINCON DE LA PAZ,2011,4
RINCON DE LA PAZ,2012,1
RINCON DE LA PAZ,2013,1
RINCON DE LA PAZ,2016,6
RINCON DE LA PAZ,2017,5
RINCON DE LA PAZ,2018,12
RINCON DE LA PAZ,2019,9
RINCON DE LA PAZ,2020,3
RINCON DE LA PAZ,2021,3
SAN CRISTOBAL,2010,18
SAN CRISTOBAL,2011,29
SAN CRISTOBAL,2012,18
SAN CRISTOBAL,2013,22
SAN CRISTOBAL,2014,15
SAN CRISTOBAL,2015,33
SAN CRISTOBAL,2016,41
SAN CRISTOBAL,2017,23
SAN CRISTOBAL,2018,30
SAN CRISTOBAL,2019,19
SAN CRISTOBAL,2020,15
SAN CRISTOBAL,2021,9
SAN MARTIN,2010,68
SAN MARTIN,2011,49
SAN MARTIN,2012,62
SAN MARTIN,2013,60
SAN MARTIN,2014,54
SAN MARTIN,2015,39
SAN MARTIN,2016,48
SAN MARTIN,2017,44
SAN MARTIN,2018,48
SAN MARTIN,2019,43
SAN MARTIN,2020,40
SAN MARTIN,2021,46
SAN PEDRO CLAVER,2010,3
SAN PEDRO CLAVER,2011,16
SAN PEDRO CLAVER,2012,10
SAN PEDRO CLAVER,2013,4
SAN PEDRO CLAVER,2014,6
SAN PEDRO CLAVER,2015,9
SAN PEDRO CLAVER,2016,5
SAN PEDRO CLAVER,2017,12
SAN PEDRO CLAVER,2018,4
SAN PEDRO CLAVER,2019,8
SAN PEDRO CLAVER,2020,3
SAN PEDRO CLAVER,2021,5
SAN RAFAEL,2010,54
SAN RAFAEL,2011,85
SAN RAFAEL,2012,90
SAN RAFAEL,2013,80
SAN RAFAEL,2014,75
SAN RAFAEL,2015,56
SAN RAFAEL,2016,80
SAN RAFAEL,2017,54
SAN RAFAEL,2018,43
SAN RAFAEL,2019,43
SAN RAFAEL,2020,34
SAN RAFAEL,2021,46
SANTANDER,2010,30
SANTANDER,2011,25
SANTANDER,2012,53
SANTANDER,2013,49
SANTANDER,2014,52
SANTANDER,2015,42
SANTANDER,2016,39
SANTANDER,2017,32
SANTANDER,2018,39
SANTANDER,2019,43
SANTANDER,2020,43
SANTANDER,2021,32
TEJAR NORTE,2010,8
TEJAR NORTE,2011,6
TEJAR NORTE,2012,15
TEJAR NORTE,2013,16
TEJAR NORTE,2014,23
TEJAR NORTE,2015,18
TEJAR NORTE,2016,30
TEJAR NORTE,2017,30
TEJAR NORTE,2018,21
TEJAR NORTE,2019,25
TEJAR NORTE,2020,24
TEJAR NORTE,2021,12
TRANSICION,2021,9
TRANSICION I,2010,23
TRANSICION I,2011,33
TRANSICION I,2012,30
TRANSICION I,2013,32
TRANSICION I,2014,39
TRANSICION I,2015,32
TRANSICION I,2016,35
TRANSICION I,2017,36
TRANSICION I,2018,60
TRANSICION I,2019,55
TRANSICION I,2020,35
TRANSICION I,2021,16
TRANSICION II,2010,7
TRANSICION II,2011,5
TRANSICION II,2012,4
TRANSICION II,2013,4
TRANSICION II,2014,6
TRANSICION II,2015,8
TRANSICION II,2016,18
TRANSICION II,2017,14
TRANSICION II,2018,21
TRANSICION II,2019,3
TRANSICION II,2020,2
TRANSICION II,2021,3
TRANSICION III,2010,7
TRANSICION III,2011,11
TRANSICION III,2012,8
TRANSICION III,2013,6
TRANSICION III,2014,4
TRANSICION III,2015,8
TRANSICION III,2016,11
TRANSICION III,2017,12
TRANSICION III,2018,17
TRANSICION III,2019,11
TRANSICION III,2020,4
TRANSICION III,2021,2
TRANSICION IV,2010,13
TRANSICION IV,2011,8
TRANSICION IV,2012,3
TRANSICION IV,2013,9
TRANSICION IV,2014,7
TRANSICION IV,2015,10
TRANSICION IV,2016,23
TRANSICION IV,2017,16
TRANSICION IV,2018,9
TRANSICION IV,2019,9
TRANSICION IV,2020,3
TRANSICION IV,2021,2
TRANSICION V,2010,11
TRANSICION V,2011,25
TRANSICION V,2012,18
TRANSICION V,2013,15
TRANSICION V,2014,19
TRANSICION V,2015,13
TRANSICION V,2016,18
TRANSICION V,2017,13
TRANSICION V,2018,21
TRANSICION V,2019,20
TRANSICION V,2020,11
TRANSICION V,2021,4
VILLA HELENA,2019,2
VILLA HELENA I,2010,25
VILLA HELENA I,2011,25
VILLA HELENA I,2012,53
VILLA HELENA I,2013,50
VILLA HELENA I,2014,40
VILLA HELENA I,2015,31
VILLA HELENA I,2016,33
VILLA HELENA I,2017,44
VILLA HELENA I,2018,23
VILLA HELENA I,2019,18
VILLA HELENA I,2020,22
VILLA HELENA I,2021,20
VILLA HELENA II,2010,6
VILLA HELENA II,2011,4
VILLA HELENA II,2014,2
VILLA HELENA II,2015,2
VILLA HELENA II,2016,4
VILLA HELENA II,2017,7
VILLA HELENA II,2018,8
VILLA HELENA II,2019,2
VILLA HELENA II,2021,3
VILLA MARIA I,2010,7
VILLA MARIA I,2011,7
VILLA MARIA I,2012,9
VILLA MARIA I,2013,5
VILLA MARIA I,2014,1
VILLA MARIA I,2015,4
VILLA MARIA I,2016,14
VILLA MARIA I,2017,6
VILLA MARIA I,2018,9
VILLA MARIA I,2019,6
VILLA MARIA I,2020,4
VILLA MARIA I,2021,6
VILLA MARIA III,2021,1
VILLA MERCEDES,2010,24
VILLA MERCEDES,2011,30
VILLA MERCEDES,2012,38
VILLA MERCEDES,2013,57
VILLA MERCEDES,2014,38
VILLA MERCEDES,2015,41
VILLA MERCEDES,2016,56
VILLA MERCEDES,2017,51
VILLA MERCEDES,2018,48
VILLA MERCEDES,2019,64
VILLA MERCEDES,2020,29
VILLA MERCEDES,2021,40
VILLA ROSA,2010,84
VILLA ROSA,2011,67
VILLA ROSA,2012,105
VILLA ROSA,2013,92
VILLA ROSA,2014,88
VILLA ROSA,2015,83
VILLA ROSA,2016,120
VILLA ROSA,2017,99
VILLA ROSA,2018,116
VILLA ROSA,2019,87
VILLA ROSA,2020,107
VILLA ROSA,2021,85
VILLAS DE GIRARDOT,2014,21
VILLAS DE GIRARDOT,2015,20
VILLAS DE GIRARDOT,2016,34
VILLAS DE GIRARDOT,2017,26
VILLAS DE GIRARDOT,2018,23
VILLAS DE GIRARDOT,2019,8
VILLAS DE GIRARDOT,2020,13
VILLAS DE GIRARDOT,2021,14
ZARABANDA,2010,23
ZARABANDA,2011,12
ZARABANDA,2012,11
ZARABANDA,2013,22
ZARABANDA,2014,26
ZARABANDA,2015,12
ZARABANDA,2016,14
ZARABANDA,2017,20
ZARABANDA,2018,13
ZARABANDA,2019,22
ZARABANDA,2020,18
ZARABANDA,2021,13
