barrios_hecho,clasificaciones delito,quantity
12 DE OCTUBRE,Lesiones fatales,8
12 DE OCTUBRE,Lesiones no fatales,252
12 DE OCTUBRE,Violencia sexual,10
13 DE JUNIO,Lesiones fatales,1
13 DE JUNIO,Lesiones no fatales,32
13 DE JUNIO,Violencia sexual,1
23 DE JUNIO,Lesiones fatales,3
23 DE JUNIO,Lesiones no fatales,80
23 DE JUNIO,Violencia sexual,5
5 DE ENERO,Lesiones fatales,2
5 DE ENERO,Lesiones no fatales,12
5 DE ENERO,Violencia sexual,1
ALARCON,Lesiones fatales,38
ALARCON,Lesiones no fatales,1965
ALARCON,Violencia sexual,69
ALTOS DEL KENNEDY,Lesiones no fatales,60
ALTOS DEL KENNEDY,Violencia sexual,6
ALTOS DEL PROGRESO,Lesiones fatales,6
ALTOS DEL PROGRESO,Lesiones no fatales,151
ALTOS DEL PROGRESO,Violencia sexual,3
BALCONES DEL KENNEDY,Lesiones no fatales,53
BALCONES DEL KENNEDY,Violencia sexual,2
BARRIO NUEVO,Lesiones no fatales,7
BETANIA,Lesiones fatales,29
BETANIA,Lesiones no fatales,621
BETANIA,Violencia sexual,24
BOSQUE NORTE,Lesiones fatales,10
BOSQUE NORTE,Lesiones no fatales,236
BOSQUE NORTE,Violencia sexual,12
BUENOS AIRES,Lesiones fatales,21
BUENOS AIRES,Lesiones no fatales,528
BUENOS AIRES,Violencia sexual,39
CAFE MADRID,Lesiones fatales,77
CAFE MADRID,Lesiones no fatales,2002
CAFE MADRID,Violencia sexual,137
CAMILO TORRES,Lesiones fatales,3
CAMILO TORRES,Lesiones no fatales,153
CAMILO TORRES,Violencia sexual,13
CAMPO MADRID,Lesiones fatales,6
CAMPO MADRID,Lesiones no fatales,207
CAMPO MADRID,Violencia sexual,10
CARLOS PIZARRO,Lesiones no fatales,5
CHAPINERO,Lesiones fatales,20
CHAPINERO,Lesiones no fatales,616
CHAPINERO,Violencia sexual,8
CLAVERIANO,Lesiones fatales,15
CLAVERIANO,Lesiones no fatales,278
CLAVERIANO,Violencia sexual,13
COLORADOS,Lesiones fatales,30
COLORADOS,Lesiones no fatales,1101
COLORADOS,Violencia sexual,89
COMUNEROS,Lesiones fatales,43
COMUNEROS,Lesiones no fatales,2116
COMUNEROS,Violencia sexual,76
DIVINO NIÑO,Lesiones fatales,1
DIVINO NIÑO,Lesiones no fatales,53
DIVINO NIÑO,Violencia sexual,2
DON BOSCO,Lesiones fatales,1
DON BOSCO,Lesiones no fatales,118
DON BOSCO,Violencia sexual,11
EL CINAL,Lesiones fatales,3
EL CINAL,Lesiones no fatales,66
EL CINAL,Violencia sexual,4
EL PABLÓN,Lesiones fatales,8
EL PABLÓN,Lesiones no fatales,245
EL PABLÓN,Violencia sexual,22
EL ROSAL,Lesiones fatales,2
EL ROSAL,Lesiones no fatales,55
EL ROSAL,Violencia sexual,6
ESTORAQUES,Lesiones no fatales,9
GAITAN,Lesiones fatales,20
GAITAN,Lesiones no fatales,1491
GAITAN,Violencia sexual,44
GALLINERAL,Lesiones no fatales,7
GALLINERAL,Violencia sexual,1
GIRARDOT,Lesiones fatales,44
GIRARDOT,Lesiones no fatales,2470
GIRARDOT,Violencia sexual,94
GRANADA,Lesiones fatales,21
GRANADA,Lesiones no fatales,898
GRANADA,Violencia sexual,9
JOSE ANTONIO GALAN,Lesiones fatales,7
JOSE ANTONIO GALAN,Lesiones no fatales,222
JOSE ANTONIO GALAN,Violencia sexual,20
JOSE MARIA CORDOBA,Lesiones fatales,10
JOSE MARIA CORDOBA,Lesiones no fatales,158
JOSE MARIA CORDOBA,Violencia sexual,17
KENNEDY,Lesiones fatales,37
KENNEDY,Lesiones no fatales,1337
KENNEDY,Violencia sexual,48
LA ESPERANZA I,Lesiones fatales,10
LA ESPERANZA I,Lesiones no fatales,319
LA ESPERANZA I,Violencia sexual,15
LA ESPERANZA II,Lesiones fatales,16
LA ESPERANZA II,Lesiones no fatales,344
LA ESPERANZA II,Violencia sexual,16
LA ESPERANZA III,Lesiones fatales,7
LA ESPERANZA III,Lesiones no fatales,199
LA ESPERANZA III,Violencia sexual,19
LA FERIA,Lesiones fatales,6
LA FERIA,Lesiones no fatales,463
LA FERIA,Violencia sexual,20
LA GLORIA,Lesiones fatales,4
LA GLORIA,Lesiones no fatales,91
LA GLORIA,Violencia sexual,4
LA INDEPENDENCIA,Lesiones fatales,22
LA INDEPENDENCIA,Lesiones no fatales,538
LA INDEPENDENCIA,Violencia sexual,32
LA INMACULADA,Lesiones fatales,9
LA INMACULADA,Lesiones no fatales,353
LA INMACULADA,Violencia sexual,11
LA JUVENTUD,Lesiones fatales,21
LA JUVENTUD,Lesiones no fatales,441
LA JUVENTUD,Violencia sexual,22
LA UNIVERSIDAD,Lesiones fatales,11
LA UNIVERSIDAD,Lesiones no fatales,1985
LA UNIVERSIDAD,Violencia sexual,33
LAS HAMACAS,Lesiones fatales,4
LAS HAMACAS,Lesiones no fatales,113
LAS HAMACAS,Violencia sexual,8
LIZCANO I,Lesiones fatales,2
LIZCANO I,Lesiones no fatales,38
LIZCANO I,Violencia sexual,4
LIZCANO II,Lesiones no fatales,42
LIZCANO II,Violencia sexual,1
LOS ANGELES,Lesiones fatales,4
LOS ANGELES,Lesiones no fatales,248
LOS ANGELES,Violencia sexual,12
MARIA PAZ,Lesiones fatales,15
MARIA PAZ,Lesiones no fatales,451
MARIA PAZ,Violencia sexual,35
MESETAS DEL SANTUARIO,Lesiones no fatales,1
MINUTO DE DIOS,Lesiones fatales,2
MINUTO DE DIOS,Lesiones no fatales,206
MINUTO DE DIOS,Violencia sexual,17
MIRADOR,Lesiones fatales,2
MIRADOR,Lesiones no fatales,9
MIRADOR,Violencia sexual,1
MIRADOR DEL KENNEDY,Lesiones no fatales,42
MIRADOR DEL KENNEDY,Violencia sexual,1
MIRAFLORES,Lesiones fatales,21
MIRAFLORES,Lesiones no fatales,559
MIRAFLORES,Violencia sexual,31
MIRAMAR,Lesiones fatales,2
MIRAMAR,Lesiones no fatales,90
MIRAMAR,Violencia sexual,4
MODELO,Lesiones fatales,8
MODELO,Lesiones no fatales,430
MODELO,Violencia sexual,10
MORRORICO,Lesiones fatales,29
MORRORICO,Lesiones no fatales,770
MORRORICO,Violencia sexual,34
MUTUALIDAD,Lesiones fatales,12
MUTUALIDAD,Lesiones no fatales,764
MUTUALIDAD,Violencia sexual,10
NAPOLES,Lesiones fatales,5
NAPOLES,Lesiones no fatales,191
NAPOLES,Violencia sexual,14
NARIÑO,Lesiones fatales,11
NARIÑO,Lesiones no fatales,354
NARIÑO,Violencia sexual,9
NAVAS,Lesiones no fatales,2
NORTE BAJO,Lesiones fatales,6
NORTE BAJO,Lesiones no fatales,205
NORTE BAJO,Violencia sexual,8
OLAS ALTAS,Lesiones fatales,4
OLAS ALTAS,Lesiones no fatales,76
OLAS ALTAS,Violencia sexual,5
OLAS BAJAS,Lesiones fatales,6
OLAS BAJAS,Lesiones no fatales,187
OLAS BAJAS,Violencia sexual,16
OLAS II,Lesiones fatales,4
OLAS II,Lesiones no fatales,45
OLAS II,Violencia sexual,4
OMAGA I,Lesiones no fatales,17
OMAGA II,Lesiones fatales,2
OMAGA II,Lesiones no fatales,30
PIO XII,Lesiones fatales,6
PIO XII,Lesiones no fatales,81
PRIMAVERAL,Lesiones no fatales,7
PRIMAVERAL,Violencia sexual,2
PUERTO RICO,Lesiones no fatales,58
PUERTO RICO,Violencia sexual,1
QUEBRADA LA IGLESIA I,Lesiones fatales,3
QUEBRADA LA IGLESIA I,Lesiones no fatales,135
QUEBRADA LA IGLESIA I,Violencia sexual,8
REGADERO NORTE,Lesiones fatales,5
REGADERO NORTE,Lesiones no fatales,374
REGADERO NORTE,Violencia sexual,21
RINCON DE LA PAZ,Lesiones fatales,1
RINCON DE LA PAZ,Lesiones no fatales,45
SAN CRISTOBAL,Lesiones fatales,19
SAN CRISTOBAL,Lesiones no fatales,240
SAN CRISTOBAL,Violencia sexual,13
SAN MARTIN,Lesiones fatales,23
SAN MARTIN,Lesiones no fatales,552
SAN MARTIN,Violencia sexual,26
SAN PEDRO CLAVER,Lesiones fatales,1
SAN PEDRO CLAVER,Lesiones no fatales,80
SAN PEDRO CLAVER,Violencia sexual,4
SAN RAFAEL,Lesiones fatales,24
SAN RAFAEL,Lesiones no fatales,685
SAN RAFAEL,Violencia sexual,31
SANTANDER,Lesiones fatales,7
SANTANDER,Lesiones no fatales,456
SANTANDER,Violencia sexual,15
TEJAR NORTE,Lesiones fatales,1
TEJAR NORTE,Lesiones no fatales,219
TEJAR NORTE,Violencia sexual,8
TRANSICION,Lesiones no fatales,9
TRANSICION I,Lesiones fatales,25
TRANSICION I,Lesiones no fatales,375
TRANSICION I,Violencia sexual,26
TRANSICION II,Lesiones fatales,4
TRANSICION II,Lesiones no fatales,82
TRANSICION II,Violencia sexual,9
TRANSICION III,Lesiones fatales,11
TRANSICION III,Lesiones no fatales,84
TRANSICION III,Violencia sexual,6
TRANSICION IV,Lesiones fatales,4
TRANSICION IV,Lesiones no fatales,102
TRANSICION IV,Violencia sexual,6
TRANSICION V,Lesiones fatales,7
TRANSICION V,Lesiones no fatales,169
TRANSICION V,Violencia sexual,12
VILLA HELENA,Lesiones no fatales,2
VILLA HELENA I,Lesiones fatales,13
VILLA HELENA I,Lesiones no fatales,350
VILLA HELENA I,Violencia sexual,21
VILLA HELENA II,Lesiones no fatales,34
VILLA HELENA II,Violencia sexual,4
VILLA MARIA I,Lesiones no fatales,75
VILLA MARIA I,Violencia sexual,3
VILLA MARIA III,Lesiones no fatales,1
VILLA MERCEDES,Lesiones fatales,21
VILLA MERCEDES,Lesiones no fatales,475
VILLA MERCEDES,Violencia sexual,20
VILLA ROSA,Lesiones fatales,34
VILLA ROSA,Lesiones no fatales,1063
VILLA ROSA,Violencia sexual,36
VILLAS DE GIRARDOT,Lesiones fatales,9
VILLAS DE GIRARDOT,Lesiones no fatales,133
VILLAS DE GIRARDOT,Violencia sexual,17
ZARABANDA,Lesiones fatales,17
ZARABANDA,Lesiones no fatales,174
ZARABANDA,Violencia sexual,15
