,barrios_hecho,conducta,quantity
0,12 DE OCTUBRE,DELITOS SEXUALES O PROSTITUCION,10
1,12 DE OCTUBRE,HURTO,76
2,12 DE OCTUBRE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),14
3,12 DE OCTUBRE,LESIONES PERSONALES,76
4,12 DE OCTUBRE,OTROS,9
5,12 DE OCTUBRE,VIOLENCIA INTRAFAMILIAR,85
6,13 DE JUNIO,DELITOS SEXUALES O PROSTITUCION,1
7,13 DE JUNIO,HURTO,17
8,13 DE JUNIO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5
9,13 DE JUNIO,LESIONES PERSONALES,3
10,13 DE JUNIO,OTROS,2
11,13 DE JUNIO,VIOLENCIA INTRAFAMILIAR,6
12,23 DE JUNIO,DELITOS SEXUALES O PROSTITUCION,5
13,23 DE JUNIO,HURTO,26
14,23 DE JUNIO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
15,23 DE JUNIO,LESIONES PERSONALES,22
16,23 DE JUNIO,OTROS,3
17,23 DE JUNIO,VIOLENCIA INTRAFAMILIAR,30
18,5 DE ENERO,DELITOS SEXUALES O PROSTITUCION,1
19,5 DE ENERO,HURTO,2
20,5 DE ENERO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
21,5 DE ENERO,LESIONES PERSONALES,7
22,5 DE ENERO,OTROS,2
23,5 DE ENERO,VIOLENCIA INTRAFAMILIAR,2
24,ALARCON,DELITOS SEXUALES O PROSTITUCION,69
25,ALARCON,HURTO,1046
26,ALARCON,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),382
27,ALARCON,LESIONES PERSONALES,339
28,ALARCON,OTROS,53
29,ALARCON,VIOLENCIA INTRAFAMILIAR,183
30,ALTOS DEL KENNEDY,DELITOS SEXUALES O PROSTITUCION,6
31,ALTOS DEL KENNEDY,HURTO,28
32,ALTOS DEL KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
33,ALTOS DEL KENNEDY,LESIONES PERSONALES,15
34,ALTOS DEL KENNEDY,OTROS,2
35,ALTOS DEL KENNEDY,VIOLENCIA INTRAFAMILIAR,13
36,ALTOS DEL PROGRESO,DELITOS SEXUALES O PROSTITUCION,3
37,ALTOS DEL PROGRESO,HURTO,51
38,ALTOS DEL PROGRESO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),24
39,ALTOS DEL PROGRESO,LESIONES PERSONALES,28
40,ALTOS DEL PROGRESO,OTROS,6
41,ALTOS DEL PROGRESO,VIOLENCIA INTRAFAMILIAR,48
42,BALCONES DEL KENNEDY,DELITOS SEXUALES O PROSTITUCION,2
43,BALCONES DEL KENNEDY,HURTO,18
44,BALCONES DEL KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
45,BALCONES DEL KENNEDY,LESIONES PERSONALES,13
46,BALCONES DEL KENNEDY,OTROS,1
47,BALCONES DEL KENNEDY,VIOLENCIA INTRAFAMILIAR,20
48,BARRIO NUEVO,HURTO,5
49,BARRIO NUEVO,LESIONES PERSONALES,2
50,BETANIA,DELITOS SEXUALES O PROSTITUCION,24
51,BETANIA,HURTO,220
52,BETANIA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),44
53,BETANIA,LESIONES PERSONALES,209
54,BETANIA,OTROS,31
55,BETANIA,VIOLENCIA INTRAFAMILIAR,146
56,BOSQUE NORTE,DELITOS SEXUALES O PROSTITUCION,12
57,BOSQUE NORTE,HURTO,74
58,BOSQUE NORTE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),23
59,BOSQUE NORTE,LESIONES PERSONALES,92
60,BOSQUE NORTE,OTROS,11
61,BOSQUE NORTE,VIOLENCIA INTRAFAMILIAR,46
62,BUENOS AIRES,DELITOS SEXUALES O PROSTITUCION,39
63,BUENOS AIRES,HURTO,195
64,BUENOS AIRES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),31
65,BUENOS AIRES,LESIONES PERSONALES,171
66,BUENOS AIRES,OTROS,25
67,BUENOS AIRES,VIOLENCIA INTRAFAMILIAR,127
68,CAFE MADRID,DELITOS SEXUALES O PROSTITUCION,137
69,CAFE MADRID,HURTO,661
70,CAFE MADRID,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),304
71,CAFE MADRID,LESIONES PERSONALES,550
72,CAFE MADRID,OTROS,87
73,CAFE MADRID,VIOLENCIA INTRAFAMILIAR,477
74,CAMILO TORRES,DELITOS SEXUALES O PROSTITUCION,13
75,CAMILO TORRES,HURTO,46
76,CAMILO TORRES,LESIONES PERSONALES,62
77,CAMILO TORRES,OTROS,3
78,CAMILO TORRES,VIOLENCIA INTRAFAMILIAR,45
79,CAMPO MADRID,DELITOS SEXUALES O PROSTITUCION,10
80,CAMPO MADRID,HURTO,68
81,CAMPO MADRID,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
82,CAMPO MADRID,LESIONES PERSONALES,58
83,CAMPO MADRID,OTROS,8
84,CAMPO MADRID,VIOLENCIA INTRAFAMILIAR,76
85,CARLOS PIZARRO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
86,CARLOS PIZARRO,LESIONES PERSONALES,1
87,CARLOS PIZARRO,VIOLENCIA INTRAFAMILIAR,2
88,CHAPINERO,DELITOS SEXUALES O PROSTITUCION,8
89,CHAPINERO,HURTO,192
90,CHAPINERO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),207
91,CHAPINERO,LESIONES PERSONALES,145
92,CHAPINERO,OTROS,22
93,CHAPINERO,VIOLENCIA INTRAFAMILIAR,70
94,CLAVERIANO,DELITOS SEXUALES O PROSTITUCION,13
95,CLAVERIANO,HURTO,74
96,CLAVERIANO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),32
97,CLAVERIANO,LESIONES PERSONALES,95
98,CLAVERIANO,OTROS,15
99,CLAVERIANO,VIOLENCIA INTRAFAMILIAR,77
100,COLORADOS,DELITOS SEXUALES O PROSTITUCION,89
101,COLORADOS,HURTO,335
102,COLORADOS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),115
103,COLORADOS,LESIONES PERSONALES,315
104,COLORADOS,OTROS,37
105,COLORADOS,VIOLENCIA INTRAFAMILIAR,329
106,COMUNEROS,DELITOS SEXUALES O PROSTITUCION,76
107,COMUNEROS,HURTO,1036
108,COMUNEROS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),455
109,COMUNEROS,LESIONES PERSONALES,338
110,COMUNEROS,OTROS,53
111,COMUNEROS,VIOLENCIA INTRAFAMILIAR,277
112,DIVINO NIÑO,DELITOS SEXUALES O PROSTITUCION,2
113,DIVINO NIÑO,HURTO,20
114,DIVINO NIÑO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),6
115,DIVINO NIÑO,LESIONES PERSONALES,18
116,DIVINO NIÑO,OTROS,1
117,DIVINO NIÑO,VIOLENCIA INTRAFAMILIAR,9
118,DON BOSCO,DELITOS SEXUALES O PROSTITUCION,11
119,DON BOSCO,HURTO,26
120,DON BOSCO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
121,DON BOSCO,LESIONES PERSONALES,45
122,DON BOSCO,OTROS,2
123,DON BOSCO,VIOLENCIA INTRAFAMILIAR,45
124,EL CINAL,DELITOS SEXUALES O PROSTITUCION,4
125,EL CINAL,HURTO,15
126,EL CINAL,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
127,EL CINAL,LESIONES PERSONALES,30
128,EL CINAL,OTROS,4
129,EL CINAL,VIOLENCIA INTRAFAMILIAR,16
130,EL PABLÓN,DELITOS SEXUALES O PROSTITUCION,22
131,EL PABLÓN,HURTO,57
132,EL PABLÓN,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),6
133,EL PABLÓN,LESIONES PERSONALES,96
134,EL PABLÓN,OTROS,9
135,EL PABLÓN,VIOLENCIA INTRAFAMILIAR,85
136,EL ROSAL,DELITOS SEXUALES O PROSTITUCION,6
137,EL ROSAL,HURTO,26
138,EL ROSAL,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
139,EL ROSAL,LESIONES PERSONALES,12
140,EL ROSAL,OTROS,3
141,EL ROSAL,VIOLENCIA INTRAFAMILIAR,14
142,ESTORAQUES,HURTO,1
143,ESTORAQUES,OTROS,2
144,ESTORAQUES,VIOLENCIA INTRAFAMILIAR,6
145,GAITAN,DELITOS SEXUALES O PROSTITUCION,44
146,GAITAN,HURTO,690
147,GAITAN,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),188
148,GAITAN,LESIONES PERSONALES,313
149,GAITAN,OTROS,45
150,GAITAN,VIOLENCIA INTRAFAMILIAR,275
151,GALLINERAL,DELITOS SEXUALES O PROSTITUCION,1
152,GALLINERAL,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
153,GALLINERAL,LESIONES PERSONALES,2
154,GALLINERAL,VIOLENCIA INTRAFAMILIAR,4
155,GIRARDOT,DELITOS SEXUALES O PROSTITUCION,94
156,GIRARDOT,HURTO,1116
157,GIRARDOT,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),267
158,GIRARDOT,LESIONES PERSONALES,620
159,GIRARDOT,OTROS,51
160,GIRARDOT,VIOLENCIA INTRAFAMILIAR,460
161,GRANADA,DELITOS SEXUALES O PROSTITUCION,9
162,GRANADA,HURTO,501
163,GRANADA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),173
164,GRANADA,LESIONES PERSONALES,179
165,GRANADA,OTROS,34
166,GRANADA,VIOLENCIA INTRAFAMILIAR,32
167,JOSE ANTONIO GALAN,DELITOS SEXUALES O PROSTITUCION,20
168,JOSE ANTONIO GALAN,HURTO,52
169,JOSE ANTONIO GALAN,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),29
170,JOSE ANTONIO GALAN,LESIONES PERSONALES,89
171,JOSE ANTONIO GALAN,OTROS,7
172,JOSE ANTONIO GALAN,VIOLENCIA INTRAFAMILIAR,52
173,JOSE MARIA CORDOBA,DELITOS SEXUALES O PROSTITUCION,17
174,JOSE MARIA CORDOBA,HURTO,44
175,JOSE MARIA CORDOBA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
176,JOSE MARIA CORDOBA,LESIONES PERSONALES,64
177,JOSE MARIA CORDOBA,OTROS,10
178,JOSE MARIA CORDOBA,VIOLENCIA INTRAFAMILIAR,48
179,KENNEDY,DELITOS SEXUALES O PROSTITUCION,48
180,KENNEDY,HURTO,546
181,KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),273
182,KENNEDY,LESIONES PERSONALES,303
183,KENNEDY,OTROS,42
184,KENNEDY,VIOLENCIA INTRAFAMILIAR,210
185,LA ESPERANZA I,DELITOS SEXUALES O PROSTITUCION,15
186,LA ESPERANZA I,HURTO,75
187,LA ESPERANZA I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),38
188,LA ESPERANZA I,LESIONES PERSONALES,105
189,LA ESPERANZA I,OTROS,10
190,LA ESPERANZA I,VIOLENCIA INTRAFAMILIAR,101
191,LA ESPERANZA II,DELITOS SEXUALES O PROSTITUCION,16
192,LA ESPERANZA II,HURTO,101
193,LA ESPERANZA II,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),19
194,LA ESPERANZA II,LESIONES PERSONALES,124
195,LA ESPERANZA II,OTROS,17
196,LA ESPERANZA II,VIOLENCIA INTRAFAMILIAR,99
197,LA ESPERANZA III,DELITOS SEXUALES O PROSTITUCION,19
198,LA ESPERANZA III,HURTO,64
199,LA ESPERANZA III,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),10
200,LA ESPERANZA III,LESIONES PERSONALES,71
201,LA ESPERANZA III,OTROS,8
202,LA ESPERANZA III,VIOLENCIA INTRAFAMILIAR,53
203,LA FERIA,DELITOS SEXUALES O PROSTITUCION,20
204,LA FERIA,HURTO,147
205,LA FERIA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),35
206,LA FERIA,LESIONES PERSONALES,163
207,LA FERIA,OTROS,6
208,LA FERIA,VIOLENCIA INTRAFAMILIAR,118
209,LA GLORIA,DELITOS SEXUALES O PROSTITUCION,4
210,LA GLORIA,HURTO,18
211,LA GLORIA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3
212,LA GLORIA,LESIONES PERSONALES,34
213,LA GLORIA,OTROS,6
214,LA GLORIA,VIOLENCIA INTRAFAMILIAR,34
215,LA INDEPENDENCIA,DELITOS SEXUALES O PROSTITUCION,32
216,LA INDEPENDENCIA,HURTO,181
217,LA INDEPENDENCIA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),52
218,LA INDEPENDENCIA,LESIONES PERSONALES,139
219,LA INDEPENDENCIA,OTROS,26
220,LA INDEPENDENCIA,VIOLENCIA INTRAFAMILIAR,162
221,LA INMACULADA,DELITOS SEXUALES O PROSTITUCION,11
222,LA INMACULADA,HURTO,129
223,LA INMACULADA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),26
224,LA INMACULADA,LESIONES PERSONALES,123
225,LA INMACULADA,OTROS,15
226,LA INMACULADA,VIOLENCIA INTRAFAMILIAR,69
227,LA JUVENTUD,DELITOS SEXUALES O PROSTITUCION,22
228,LA JUVENTUD,HURTO,172
229,LA JUVENTUD,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),72
230,LA JUVENTUD,LESIONES PERSONALES,116
231,LA JUVENTUD,OTROS,23
232,LA JUVENTUD,VIOLENCIA INTRAFAMILIAR,79
233,LA UNIVERSIDAD,DELITOS SEXUALES O PROSTITUCION,33
234,LA UNIVERSIDAD,HURTO,1426
235,LA UNIVERSIDAD,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),215
236,LA UNIVERSIDAD,LESIONES PERSONALES,248
237,LA UNIVERSIDAD,OTROS,14
238,LA UNIVERSIDAD,VIOLENCIA INTRAFAMILIAR,93
239,LAS HAMACAS,DELITOS SEXUALES O PROSTITUCION,8
240,LAS HAMACAS,HURTO,39
241,LAS HAMACAS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),11
242,LAS HAMACAS,LESIONES PERSONALES,32
243,LAS HAMACAS,OTROS,4
244,LAS HAMACAS,VIOLENCIA INTRAFAMILIAR,31
245,LIZCANO I,DELITOS SEXUALES O PROSTITUCION,4
246,LIZCANO I,HURTO,10
