,barrios_hecho,conducta,quantity
247,LIZCANO I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
248,LIZCANO I,LESIONES PERSONALES,10
249,LIZCANO I,OTROS,2
250,LIZCANO I,VIOLENCIA INTRAFAMILIAR,17
251,LIZCANO II,DELITOS SEXUALES O PROSTITUCION,1
252,LIZCANO II,HURTO,18
253,LIZCANO II,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
254,LIZCANO II,LESIONES PERSONALES,8
255,LIZCANO II,VIOLENCIA INTRAFAMILIAR,15
256,LOS ANGELES,DELITOS SEXUALES O PROSTITUCION,12
257,LOS ANGELES,HURTO,92
258,LOS ANGELES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),44
259,LOS ANGELES,LESIONES PERSONALES,62
260,LOS ANGELES,OTROS,6
261,LOS ANGELES,VIOLENCIA INTRAFAMILIAR,48
262,MARIA PAZ,DELITOS SEXUALES O PROSTITUCION,35
263,MARIA PAZ,HURTO,127
264,MARIA PAZ,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),27
265,MARIA PAZ,LESIONES PERSONALES,160
266,MARIA PAZ,OTROS,16
267,MARIA PAZ,VIOLENCIA INTRAFAMILIAR,136
268,MESETAS DEL SANTUARIO,HURTO,1
269,MINUTO DE DIOS,DELITOS SEXUALES O PROSTITUCION,17
270,MINUTO DE DIOS,HURTO,107
271,MINUTO DE DIOS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),20
272,MINUTO DE DIOS,LESIONES PERSONALES,47
273,MINUTO DE DIOS,OTROS,2
274,MINUTO DE DIOS,VIOLENCIA INTRAFAMILIAR,32
275,MIRADOR,DELITOS SEXUALES O PROSTITUCION,1
276,MIRADOR,HURTO,5
277,MIRADOR,LESIONES PERSONALES,3
278,MIRADOR,OTROS,2
279,MIRADOR,VIOLENCIA INTRAFAMILIAR,1
280,MIRADOR DEL KENNEDY,DELITOS SEXUALES O PROSTITUCION,1
281,MIRADOR DEL KENNEDY,HURTO,9
282,MIRADOR DEL KENNEDY,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
283,MIRADOR DEL KENNEDY,LESIONES PERSONALES,10
284,MIRADOR DEL KENNEDY,VIOLENCIA INTRAFAMILIAR,21
285,MIRAFLORES,DELITOS SEXUALES O PROSTITUCION,31
286,MIRAFLORES,HURTO,197
287,MIRAFLORES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),34
288,MIRAFLORES,LESIONES PERSONALES,177
289,MIRAFLORES,OTROS,25
290,MIRAFLORES,VIOLENCIA INTRAFAMILIAR,147
291,MIRAMAR,DELITOS SEXUALES O PROSTITUCION,4
292,MIRAMAR,HURTO,39
293,MIRAMAR,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),16
294,MIRAMAR,LESIONES PERSONALES,12
295,MIRAMAR,OTROS,2
296,MIRAMAR,VIOLENCIA INTRAFAMILIAR,23
297,MODELO,DELITOS SEXUALES O PROSTITUCION,10
298,MODELO,HURTO,141
299,MODELO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),210
300,MODELO,LESIONES PERSONALES,46
301,MODELO,OTROS,15
302,MODELO,VIOLENCIA INTRAFAMILIAR,26
303,MORRORICO,DELITOS SEXUALES O PROSTITUCION,34
304,MORRORICO,HURTO,292
305,MORRORICO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),134
306,MORRORICO,LESIONES PERSONALES,183
307,MORRORICO,OTROS,33
308,MORRORICO,VIOLENCIA INTRAFAMILIAR,157
309,MUTUALIDAD,DELITOS SEXUALES O PROSTITUCION,10
310,MUTUALIDAD,HURTO,315
311,MUTUALIDAD,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),282
312,MUTUALIDAD,LESIONES PERSONALES,117
313,MUTUALIDAD,OTROS,18
314,MUTUALIDAD,VIOLENCIA INTRAFAMILIAR,44
315,NAPOLES,DELITOS SEXUALES O PROSTITUCION,14
316,NAPOLES,HURTO,57
317,NAPOLES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5
318,NAPOLES,LESIONES PERSONALES,68
319,NAPOLES,OTROS,6
320,NAPOLES,VIOLENCIA INTRAFAMILIAR,60
321,NARIÑO,DELITOS SEXUALES O PROSTITUCION,9
322,NARIÑO,HURTO,99
323,NARIÑO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),19
324,NARIÑO,LESIONES PERSONALES,117
325,NARIÑO,OTROS,14
326,NARIÑO,VIOLENCIA INTRAFAMILIAR,116
327,NAVAS,HURTO,2
328,NORTE BAJO,DELITOS SEXUALES O PROSTITUCION,8
329,NORTE BAJO,HURTO,55
330,NORTE BAJO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),89
331,NORTE BAJO,LESIONES PERSONALES,25
332,NORTE BAJO,OTROS,9
333,NORTE BAJO,VIOLENCIA INTRAFAMILIAR,33
334,OLAS ALTAS,DELITOS SEXUALES O PROSTITUCION,5
335,OLAS ALTAS,HURTO,36
336,OLAS ALTAS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),16
337,OLAS ALTAS,LESIONES PERSONALES,14
338,OLAS ALTAS,OTROS,6
339,OLAS ALTAS,VIOLENCIA INTRAFAMILIAR,8
340,OLAS BAJAS,DELITOS SEXUALES O PROSTITUCION,16
341,OLAS BAJAS,HURTO,62
342,OLAS BAJAS,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),56
343,OLAS BAJAS,LESIONES PERSONALES,38
344,OLAS BAJAS,OTROS,7
345,OLAS BAJAS,VIOLENCIA INTRAFAMILIAR,30
346,OLAS II,DELITOS SEXUALES O PROSTITUCION,4
347,OLAS II,HURTO,26
348,OLAS II,LESIONES PERSONALES,14
349,OLAS II,OTROS,4
350,OLAS II,VIOLENCIA INTRAFAMILIAR,5
351,OMAGA I,HURTO,1
352,OMAGA I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
353,OMAGA I,LESIONES PERSONALES,8
354,OMAGA I,VIOLENCIA INTRAFAMILIAR,6
355,OMAGA II,HURTO,10
356,OMAGA II,LESIONES PERSONALES,5
357,OMAGA II,OTROS,2
358,OMAGA II,VIOLENCIA INTRAFAMILIAR,15
359,PIO XII,HURTO,33
360,PIO XII,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
361,PIO XII,LESIONES PERSONALES,18
362,PIO XII,OTROS,9
363,PIO XII,VIOLENCIA INTRAFAMILIAR,23
364,PRIMAVERAL,DELITOS SEXUALES O PROSTITUCION,2
365,PRIMAVERAL,HURTO,3
366,PRIMAVERAL,LESIONES PERSONALES,2
367,PRIMAVERAL,VIOLENCIA INTRAFAMILIAR,2
368,PUERTO RICO,DELITOS SEXUALES O PROSTITUCION,1
369,PUERTO RICO,HURTO,27
370,PUERTO RICO,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
371,PUERTO RICO,LESIONES PERSONALES,19
372,PUERTO RICO,VIOLENCIA INTRAFAMILIAR,8
373,QUEBRADA LA IGLESIA I,DELITOS SEXUALES O PROSTITUCION,8
374,QUEBRADA LA IGLESIA I,HURTO,53
375,QUEBRADA LA IGLESIA I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),36
376,QUEBRADA LA IGLESIA I,LESIONES PERSONALES,26
377,QUEBRADA LA IGLESIA I,OTROS,4
378,QUEBRADA LA IGLESIA I,VIOLENCIA INTRAFAMILIAR,19
379,REGADERO NORTE,DELITOS SEXUALES O PROSTITUCION,21
380,REGADERO NORTE,HURTO,182
381,REGADERO NORTE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),49
382,REGADERO NORTE,LESIONES PERSONALES,71
383,REGADERO NORTE,OTROS,6
384,REGADERO NORTE,VIOLENCIA INTRAFAMILIAR,71
385,RINCON DE LA PAZ,HURTO,10
386,RINCON DE LA PAZ,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
387,RINCON DE LA PAZ,LESIONES PERSONALES,28
388,RINCON DE LA PAZ,OTROS,1
389,RINCON DE LA PAZ,VIOLENCIA INTRAFAMILIAR,6
390,SAN CRISTOBAL,DELITOS SEXUALES O PROSTITUCION,13
391,SAN CRISTOBAL,HURTO,82
392,SAN CRISTOBAL,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),21
393,SAN CRISTOBAL,LESIONES PERSONALES,68
394,SAN CRISTOBAL,OTROS,19
395,SAN CRISTOBAL,VIOLENCIA INTRAFAMILIAR,69
396,SAN MARTIN,DELITOS SEXUALES O PROSTITUCION,26
397,SAN MARTIN,HURTO,157
398,SAN MARTIN,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),150
399,SAN MARTIN,LESIONES PERSONALES,170
400,SAN MARTIN,OTROS,25
401,SAN MARTIN,VIOLENCIA INTRAFAMILIAR,73
402,SAN PEDRO CLAVER,DELITOS SEXUALES O PROSTITUCION,4
403,SAN PEDRO CLAVER,HURTO,16
404,SAN PEDRO CLAVER,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
405,SAN PEDRO CLAVER,LESIONES PERSONALES,21
406,SAN PEDRO CLAVER,OTROS,2
407,SAN PEDRO CLAVER,VIOLENCIA INTRAFAMILIAR,40
408,SAN RAFAEL,DELITOS SEXUALES O PROSTITUCION,31
409,SAN RAFAEL,HURTO,246
410,SAN RAFAEL,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),150
411,SAN RAFAEL,LESIONES PERSONALES,150
412,SAN RAFAEL,OTROS,26
413,SAN RAFAEL,VIOLENCIA INTRAFAMILIAR,137
414,SANTANDER,DELITOS SEXUALES O PROSTITUCION,15
415,SANTANDER,HURTO,153
416,SANTANDER,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),48
417,SANTANDER,LESIONES PERSONALES,140
418,SANTANDER,OTROS,11
419,SANTANDER,VIOLENCIA INTRAFAMILIAR,111
420,TEJAR NORTE,DELITOS SEXUALES O PROSTITUCION,8
421,TEJAR NORTE,HURTO,101
422,TEJAR NORTE,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),8
423,TEJAR NORTE,LESIONES PERSONALES,58
424,TEJAR NORTE,OTROS,1
425,TEJAR NORTE,VIOLENCIA INTRAFAMILIAR,52
426,TRANSICION,HURTO,2
427,TRANSICION,OTROS,1
428,TRANSICION,VIOLENCIA INTRAFAMILIAR,6
429,TRANSICION I,DELITOS SEXUALES O PROSTITUCION,26
430,TRANSICION I,HURTO,100
431,TRANSICION I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),30
432,TRANSICION I,LESIONES PERSONALES,108
433,TRANSICION I,OTROS,25
434,TRANSICION I,VIOLENCIA INTRAFAMILIAR,137
435,TRANSICION II,DELITOS SEXUALES O PROSTITUCION,9
436,TRANSICION II,HURTO,19
437,TRANSICION II,LESIONES PERSONALES,34
438,TRANSICION II,OTROS,4
439,TRANSICION II,VIOLENCIA INTRAFAMILIAR,29
440,TRANSICION III,DELITOS SEXUALES O PROSTITUCION,6
441,TRANSICION III,HURTO,27
442,TRANSICION III,LESIONES PERSONALES,27
443,TRANSICION III,OTROS,11
444,TRANSICION III,VIOLENCIA INTRAFAMILIAR,30
445,TRANSICION IV,DELITOS SEXUALES O PROSTITUCION,6
446,TRANSICION IV,HURTO,29
447,TRANSICION IV,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4
448,TRANSICION IV,LESIONES PERSONALES,32
449,TRANSICION IV,OTROS,4
450,TRANSICION IV,VIOLENCIA INTRAFAMILIAR,37
451,TRANSICION V,DELITOS SEXUALES O PROSTITUCION,12
452,TRANSICION V,HURTO,57
453,TRANSICION V,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
454,TRANSICION V,LESIONES PERSONALES,44
455,TRANSICION V,OTROS,7
456,TRANSICION V,VIOLENCIA INTRAFAMILIAR,67
457,VILLA HELENA,HURTO,2
458,VILLA HELENA I,DELITOS SEXUALES O PROSTITUCION,21
459,VILLA HELENA I,HURTO,137
460,VILLA HELENA I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),18
461,VILLA HELENA I,LESIONES PERSONALES,90
462,VILLA HELENA I,OTROS,15
463,VILLA HELENA I,VIOLENCIA INTRAFAMILIAR,103
464,VILLA HELENA II,DELITOS SEXUALES O PROSTITUCION,4
465,VILLA HELENA II,HURTO,14
466,VILLA HELENA II,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
467,VILLA HELENA II,LESIONES PERSONALES,8
468,VILLA HELENA II,VIOLENCIA INTRAFAMILIAR,10
469,VILLA MARIA I,DELITOS SEXUALES O PROSTITUCION,3
470,VILLA MARIA I,HURTO,23
471,VILLA MARIA I,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2
472,VILLA MARIA I,LESIONES PERSONALES,23
473,VILLA MARIA I,VIOLENCIA INTRAFAMILIAR,27
474,VILLA MARIA III,VIOLENCIA INTRAFAMILIAR,1
475,VILLA MERCEDES,DELITOS SEXUALES O PROSTITUCION,20
476,VILLA MERCEDES,HURTO,141
477,VILLA MERCEDES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),135
478,VILLA MERCEDES,LESIONES PERSONALES,139
479,VILLA MERCEDES,OTROS,23
480,VILLA MERCEDES,VIOLENCIA INTRAFAMILIAR,58
481,VILLA ROSA,DELITOS SEXUALES O PROSTITUCION,36
482,VILLA ROSA,HURTO,440
483,VILLA ROSA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),52
484,VILLA ROSA,LESIONES PERSONALES,286
485,VILLA ROSA,OTROS,40
486,VILLA ROSA,VIOLENCIA INTRAFAMILIAR,279
487,VILLAS DE GIRARDOT,DELITOS SEXUALES O PROSTITUCION,17
488,VILLAS DE GIRARDOT,HURTO,22
489,VILLAS DE GIRARDOT,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
490,VILLAS DE GIRARDOT,LESIONES PERSONALES,59
491,VILLAS DE GIRARDOT,OTROS,10
492,VILLAS DE GIRARDOT,VIOLENCIA INTRAFAMILIAR,50
493,ZARABANDA,DELITOS SEXUALES O PROSTITUCION,15
494,ZARABANDA,HURTO,54
495,ZARABANDA,LESIONES PERSONALES,62
496,ZARABANDA,OTROS,18
497,ZARABANDA,VIOLENCIA INTRAFAMILIAR,57
